"Profile_userId","side","ACC_vectorMagnitude","ACC_min_x","ACC_min_y","ACC_min_z","ACC_max_x","ACC_max_y","ACC_max_z","ACC_mean_x","ACC_mean_y","ACC_mean_z","ACC_var_x","ACC_var_y","ACC_var_z","ACC_std_x","ACC_std_y","ACC_std_z","ACC_skew_x","ACC_skew_y","ACC_skew_z","ACC_kurt_x","ACC_kurt_y","ACC_kurt_z","ACC_median_x","ACC_median_y","ACC_median_z","ACC_parcentile25_x","ACC_parcentile25_y","ACC_parcentile25_z","ACC_parcentile50_x","ACC_parcentile50_y","ACC_parcentile50_z","ACC_parcentile75_x","ACC_parcentile75_y","ACC_parcentile75_z","ACC_corr_xy","ACC_corr_yz","ACC_corr_xz","ACC_zerocross_x","ACC_zerocross_y","ACC_zerocross_z","ACC_energy_x","ACC_energy_y","ACC_energy_z","ACC_dominantFr_x","ACC_dominantFr_y","ACC_dominantFr_z","ACC_dominantMag_x","ACC_dominantMag_y","ACC_dominantMag_z","ACC_entropy_x","ACC_entropy_y","ACC_entropy_z","ACC_min_vm","ACC_max_vm","ACC_mean_vm","ACC_var_vm","ACC_std_vm","ACC_skew_vm","ACC_kurt_vm","ACC_median_vm","ACC_parcentile25_vm","ACC_parcentile50_vm","ACC_parcentile75_vm","ACC_energy_vm","ACC_dominantFr_vm","ACC_dominantMag_vm","ACC_entropy_vm","Profile_age","Profile_height_M","Profile_weight_KG","Profile_bmi","Profile_bsa_M2","Profile_gmfcs","Label_PA_Name"
"Us_2","Right",0.979872440677866,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406000000000002,-0.125,0.883000000000003,5.45392442311559e-30,0,1.11304580063583e-29,2.33536387381401e-15,0,3.33623410544859e-15,0,0,0,0,0,0,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,0,0,0,0,0,0,49.4508,4.6875,233.9067,0,0,0,0,0,1.10933564796705e-27,0,0,0,0.979872440677867,0.979872440677867,0.979872440677866,4.45218320254334e-31,6.67246821089718e-16,0,0,0.979872440677867,0.979872440677867,0.979872440677867,0.979872440677867,288.045,0,1.10933564796705e-27,0,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.979872440677866,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406000000000002,-0.125,0.883000000000003,5.45392442311559e-30,0,1.11304580063583e-29,2.33536387381401e-15,0,3.33623410544859e-15,0,0,0,0,0,0,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,0,0,0,0,0,0,49.4508,4.6875,233.9067,0,0,0,0,0,1.10933564796705e-27,0,0,0,0.979872440677867,0.979872440677867,0.979872440677866,4.45218320254334e-31,6.67246821089718e-16,0,0,0.979872440677867,0.979872440677867,0.979872440677867,0.979872440677867,288.045,0,1.10933564796705e-27,0,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.979872440677866,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406000000000002,-0.125,0.883000000000003,5.45392442311559e-30,0,1.11304580063583e-29,2.33536387381401e-15,0,3.33623410544859e-15,0,0,0,0,0,0,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,0,0,0,0,0,0,49.4508,4.6875,233.9067,0,0,0,0,0,1.10933564796705e-27,0,0,0,0.979872440677867,0.979872440677867,0.979872440677866,4.45218320254334e-31,6.67246821089718e-16,0,0,0.979872440677867,0.979872440677867,0.979872440677867,0.979872440677867,288.045,0,1.10933564796705e-27,0,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.979872440677866,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406000000000002,-0.125,0.883000000000003,5.45392442311559e-30,0,1.11304580063583e-29,2.33536387381401e-15,0,3.33623410544859e-15,0,0,0,0,0,0,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,0,0,0,0,0,0,49.4508,4.6875,233.9067,0,0,0,0,0,1.10933564796705e-27,0,0,0,0.979872440677867,0.979872440677867,0.979872440677866,4.45218320254334e-31,6.67246821089718e-16,0,0,0.979872440677867,0.979872440677867,0.979872440677867,0.979872440677867,288.045,0,1.10933564796705e-27,0,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.979872440677866,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406000000000002,-0.125,0.883000000000003,5.45392442311559e-30,0,1.11304580063583e-29,2.33536387381401e-15,0,3.33623410544859e-15,0,0,0,0,0,0,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,0,0,0,0,0,0,49.4508,4.6875,233.9067,0,0,0,0,0,1.10933564796705e-27,0,0,0,0.979872440677867,0.979872440677867,0.979872440677866,4.45218320254334e-31,6.67246821089718e-16,0,0,0.979872440677867,0.979872440677867,0.979872440677867,0.979872440677867,288.045,0,1.10933564796705e-27,0,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.979872440677866,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406000000000002,-0.125,0.883000000000003,5.45392442311559e-30,0,1.11304580063583e-29,2.33536387381401e-15,0,3.33623410544859e-15,0,0,0,0,0,0,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,-0.406,-0.125,0.883,0,0,0,0,0,0,49.4508,4.6875,233.9067,0,0,0,0,0,1.10933564796705e-27,0,0,0,0.979872440677867,0.979872440677867,0.979872440677866,4.45218320254334e-31,6.67246821089718e-16,0,0,0.979872440677867,0.979872440677867,0.979872440677867,0.979872440677867,288.045,0,1.10933564796705e-27,0,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.981705713681202,-1.102,-0.254,-0.797,-0.309,0.113,0.918,-0.611779999999999,-0.14705,0.587336666666666,0.0624880116387959,0.00188213461538461,0.159849394637681,0.249976022127715,0.0433835754103395,0.399811698975506,-0.548269790635863,-0.21245079009998,-0.866034632576436,-1.60927997514669,3.84730766383666,-0.798250510432096,-0.445,-0.125,0.865,-0.922,-0.173,0.23325,-0.445,-0.125,0.865,-0.406,-0.125,0.883,0.758387030318948,0.73324993749042,0.954859662936351,3,8,5,130.966346,7.049869,151.284277,1,1,1,2203.20749162716,33.968716212341,5212.990355513,3.02359583359872,2.68059723699642,3.22661452592874,0.906564393741559,1.21793842208874,0.981705713681202,0.000590834507373025,0.024307087595453,4.0862234073521,34.8777259922842,0.979872440677867,0.977374543703767,0.979872440677867,0.982110981934714,289.300492,49,1.26520977334754,3.76568087152471,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.983928745249806,-0.824,-0.219,0.469,-0.18,-0.156,0.973,-0.221183333333334,-0.185826666666667,0.932556666666665,0.0105579094202899,9.66655072463766e-05,0.00446882955406904,0.102751688162725,0.00983186184028115,0.0668493048136556,-4.49609031085985,1.22007271580331,-5.58708444931917,20.8147908335324,1.25054557837817,31.337036486537,-0.195,-0.191,0.945,-0.195,-0.191,0.945,-0.195,-0.191,0.945,-0.191,-0.184,0.949,-0.0528317795619719,0.00383196809551099,0.955863564780371,36,33,42,17.833435,10.388368,262.234761,1,1,2,70.2732811705078,1.68308790205026,16.9843902779603,2.18708425245554,1.97611282275571,1.80493957554635,0.934604194298314,1.04401676231754,0.983928745249806,7.30143188728045e-05,0.00854484165288067,0.482085479507205,22.7401889238845,0.983631536704675,0.98226778426252,0.983631536704675,0.98611662596267,290.456564,23,0.126740838309517,3.99542363355716,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.984130215906379,-0.203,-0.195,0.938,-0.184,-0.176,0.953,-0.19456,-0.193933333333334,0.945006666666662,5.17030100334451e-06,5.9888517279821e-06,3.75246376811607e-06,0.0022738295897768,0.00244721305324692,0.00193712771084306,0.851679625411423,3.13944453828498,-0.0317006314850018,4.02334371624634,13.338451746634,2.84852339929837,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.945,0.315663112823672,0.0238930301225771,0.0327409590250085,27,0,31,11.357624,11.284832,267.912402,1,1,2,0.0101508642390689,0.0572198075127382,0.00463959017328361,0.776525210135187,0.647784751380344,0.69904337392689,0.977659449910857,0.991319827300957,0.984130215906379,3.9245552569807e-06,0.00198104902942373,-0.57673801793713,2.93256685866927,0.984416070571788,0.984416070571788,0.984416070571788,0.984416070571788,290.554858,1,0.00688293044589438,1.66502748966759,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.984416070571792,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.944999999999995,6.26088262857657e-32,6.26088262857657e-32,2.61689434905047e-29,2.50217557908644e-16,2.50217557908644e-16,5.11555896168783e-15,0,0,0,0,0,0,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.945,1,0,0,0,0,0,11.4075,11.4075,267.9075,0,0,0,6.93334779979405e-29,6.93334779979405e-29,0,0,0,0,0.984416070571788,0.984416070571788,0.984416070571792,1.42964549503892e-29,3.7810653195084e-15,0,0,0.984416070571788,0.984416070571788,0.984416070571788,0.984416070571788,290.7225,0,4.43734259186819e-27,0,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.984416070571792,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.944999999999995,6.26088262857657e-32,6.26088262857657e-32,2.61689434905047e-29,2.50217557908644e-16,2.50217557908644e-16,5.11555896168783e-15,0,0,0,0,0,0,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.945,1,0,0,0,0,0,11.4075,11.4075,267.9075,0,0,0,6.93334779979405e-29,6.93334779979405e-29,0,0,0,0,0.984416070571788,0.984416070571788,0.984416070571792,1.42964549503892e-29,3.7810653195084e-15,0,0,0.984416070571788,0.984416070571788,0.984416070571788,0.984416070571788,290.7225,0,4.43734259186819e-27,0,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
"Us_2","Right",0.984416070571792,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.944999999999995,6.26088262857657e-32,6.26088262857657e-32,2.61689434905047e-29,2.50217557908644e-16,2.50217557908644e-16,5.11555896168783e-15,0,0,0,0,0,0,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.945,-0.195,-0.195,0.945,1,0,0,0,0,0,11.4075,11.4075,267.9075,0,0,0,6.93334779979405e-29,6.93334779979405e-29,0,0,0,0,0.984416070571788,0.984416070571788,0.984416070571792,1.42964549503892e-29,3.7810653195084e-15,0,0,0.984416070571788,0.984416070571788,0.984416070571788,0.984416070571788,290.7225,0,4.43734259186819e-27,0,12,1.3589,33.5204488,18.2,1.41416208369168,2,"Lying"
