"Profile_userId","side","ACC_vectorMagnitude","ACC_min_x","ACC_min_y","ACC_min_z","ACC_max_x","ACC_max_y","ACC_max_z","ACC_mean_x","ACC_mean_y","ACC_mean_z","ACC_var_x","ACC_var_y","ACC_var_z","ACC_std_x","ACC_std_y","ACC_std_z","ACC_skew_x","ACC_skew_y","ACC_skew_z","ACC_kurt_x","ACC_kurt_y","ACC_kurt_z","ACC_median_x","ACC_median_y","ACC_median_z","ACC_parcentile25_x","ACC_parcentile25_y","ACC_parcentile25_z","ACC_parcentile50_x","ACC_parcentile50_y","ACC_parcentile50_z","ACC_parcentile75_x","ACC_parcentile75_y","ACC_parcentile75_z","ACC_corr_xy","ACC_corr_yz","ACC_corr_xz","ACC_zerocross_x","ACC_zerocross_y","ACC_zerocross_z","ACC_energy_x","ACC_energy_y","ACC_energy_z","ACC_dominantFr_x","ACC_dominantFr_y","ACC_dominantFr_z","ACC_dominantMag_x","ACC_dominantMag_y","ACC_dominantMag_z","ACC_entropy_x","ACC_entropy_y","ACC_entropy_z","ACC_min_vm","ACC_max_vm","ACC_mean_vm","ACC_var_vm","ACC_std_vm","ACC_skew_vm","ACC_kurt_vm","ACC_median_vm","ACC_parcentile25_vm","ACC_parcentile50_vm","ACC_parcentile75_vm","ACC_energy_vm","ACC_dominantFr_vm","ACC_dominantMag_vm","ACC_entropy_vm","Profile_age","Profile_height_M","Profile_weight_KG","Profile_bmi","Profile_bsa_M2","Profile_gmfcs","Label_PA_Name"
"Aus_1","Left",1.02005217508036,-0.777,-0.297,0.664,-0.055,0.086,1.367,-0.435736666666666,-0.105633333333333,0.903496666666666,0.0171876662095875,0.00265918283166108,0.00464999664437014,0.131101739918231,0.0515672651171369,0.0681908838802529,0.77381573375189,-0.805368066639162,0.570520663291429,1.06183780034126,1.11558704701314,7.94920794426542,-0.449,-0.082,0.914,-0.492,-0.145,0.883,-0.449,-0.082,0.914,-0.382,-0.07,0.926,-0.759381977924995,-0.50424119894001,0.789922449325406,20,19,26,62.099045,4.14261600000001,246.282217000001,4,1,1,155.211431585292,48.865690854215,31.6666365933029,3.94740993334814,3.17314181510119,3.56573874916971,0.840760370141219,1.39322862445472,1.02005217508036,0.0012439666693847,0.0352699116724822,3.55059719298206,46.9253912752922,1.01994558678392,1.01556831029341,1.01994558678392,1.02346128407478,312.523878000001,35,1.98890101914604,5.26727100943073,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.01985562063171,-0.566,-0.227,0.828,-0.375,0.047,0.957,-0.443243333333334,-0.09349,0.911960000000001,0.00101997069119287,0.00195263869565217,0.000314339531772575,0.0319369799948722,0.0441886715760066,0.0177296230014227,-1.34639367166051,0.142379636462119,-1.91020899600124,2.43710708187189,-0.566740299012451,6.44369299860903,-0.441,-0.074,0.914,-0.449,-0.133,0.91,-0.441,-0.074,0.914,-0.422,-0.066,0.918,-0.702011011710575,-0.388377603407998,0.850021081551934,11,11,27,59.2443669999999,3.205953,249.5953,1,1,2,11.1323797530434,58.5540804891864,2.51093175123708,3.13017646804696,3.26905327225511,2.39341830316316,0.990240879786327,1.06532671045084,1.01985562063171,4.67355176443661e-05,0.00683633802882553,0.524828499842426,9.05033338890963,1.01982473984477,1.01685839722156,1.01982473984477,1.02256980201842,312.04562,19,0.106046220941434,5.18814616520463,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.02138550619298,-0.477,-0.176,0.902,0.145,0.125,1.426,-0.405513333333335,-0.14934,0.92125,0.00501098644370122,0.00202344923076923,0.00157225501672241,0.0707883213793153,0.0449827659306231,0.0396516710457757,4.7446671757169,4.00144939745587,8.22730282862803,25.3591598010774,16.2171585612457,91.3507035896476,-0.426,-0.16,0.914,-0.43,-0.164,0.91,-0.426,-0.16,0.914,-0.414,-0.156,0.918,0.423565790554353,0.590628610279272,0.740300606716612,32,14,29,50.8306040000001,7.29574200000001,255.080573,1,1,1,37.1897295641955,13.2160480955418,8.80752366057121,2.20234437640992,2.32442308022538,1.87796399154987,0.957641895491211,1.42718113776773,1.02138550619298,0.000797368968812407,0.028237722443788,10.8666860936443,146.853432006501,1.01840267085274,1.01681463404103,1.01840267085274,1.02101518108204,313.206919,1,0.69271839166598,4.25286263119133,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.01798990763866,-1.02,-0.258,0.316,-0.281,0.637,1.199,-0.509870000000001,-0.0542466666666669,0.848493333333332,0.0166367623076923,0.0184713570122631,0.0216510133333333,0.128983573790201,0.135909370582985,0.147142833102171,-1.90982848251915,3.12052758425691,-2.11942893274729,2.84589034157297,10.0350712267886,3.54327843128275,-0.453,-0.102,0.906,-0.492,-0.105,0.883,-0.453,-0.102,0.906,-0.449,-0.09,0.91,-0.754682017884955,-0.722987026782167,0.853761197693224,13,56,43,82.964617,6.405746,222.455934,1,1,1,256.653950721091,204.234152397714,284.936743066536,3.36608959515559,2.92063338849049,3.23534507868099,0.819515710648673,1.40631895386502,1.01798990763866,0.0031279644941504,0.0559282083938901,1.35520134630915,13.8550978745372,1.01878653308728,1.01449494813399,1.01878653308728,1.02265781052044,311.826297,21,7.56222802496001,5.12889815152416,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.02197876576808,-1.098,-0.145,-0.172,-0.539,0.703,0.777,-0.749303333333333,0.258740000000001,0.521233333333333,0.00939381069119285,0.0879777047491641,0.0498258450390189,0.0969216729694285,0.296610358465722,0.223217035727605,-0.71066220566727,-0.110846439564099,-1.20570231110618,0.257960276858564,-1.7480881717614,0.975740733684777,-0.727,0.363,0.561,-0.805,-0.086,0.428,-0.727,0.363,0.561,-0.68,0.563,0.715,-0.103106607642677,-0.591234317448142,0.609412911221607,19,3,16,171.245395,46.3892499999999,96.4031839999999,1,1,1,121.927024292888,3382.75335623092,1095.04063665757,4.18957772174937,4.24730117784592,4.60168496479896,0.849720542296113,1.38374058262378,1.02197876576808,0.00236003242724853,0.0485801649569918,2.42761842414471,14.2911504087008,1.01203705394259,1.0042096299865,1.01203705394259,1.032526496492,314.037829,42,6.92756526595424,5.60613036914389,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.00821138834723,-1.074,-0.191,0.223,-0.664,0.23,0.789,-0.81282,-0.0492100000000002,0.58649,0.00352232200668897,0.00066102933110368,0.00541546812709029,0.0593491533780303,0.0257104906818925,0.0735898642959089,0.89674023071625,3.57301856754576,0.670463457988494,1.2311233552935,48.8849862311324,1.79695740290154,-0.832,-0.047,0.563,-0.836,-0.047,0.559,-0.832,-0.047,0.563,-0.828,-0.043,0.57,-0.649447225540664,-0.512305468098869,0.975203101808661,30,26,48,199.25608,0.924135,104.810381,2,2,2,48.4788948896149,3.36143996007414,76.1078142127834,2.54237348415787,2.13002663290748,2.83084741404344,0.994824105055763,1.1739812604978,1.00821138834723,0.000145601746099647,0.0120665548562813,10.2203576510084,129.070433397532,1.00677008298817,1.00437542781571,1.00677008298817,1.00943053252812,304.990596,1,0.167122723825904,4.45949344534352,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.01865380306974,-1.48,-0.332,0.145,-0.387,0.43,0.945,-0.65246,0.0334233333333334,0.727946666666666,0.0291219549163879,0.0276674489520624,0.0271030071794872,0.170651559958847,0.166335350879067,0.164629909735404,-0.404244669421942,-0.00844606379079701,-0.851101100610869,0.597257683477217,-1.56114674909806,0.752199289180213,-0.678,0.0645,0.736,-0.789,-0.129,0.613,-0.678,0.0645,0.736,-0.464,0.184,0.892,-0.733614151397007,-0.658871399704232,0.882456608311813,14,7,12,136.41868,8.60770300000001,167.075704,1,1,1,779.290071443592,997.110536440508,615.482347987418,4.38600458583938,4.32203891083272,4.33710182042699,0.717097622363929,1.59966902826804,1.01865380306974,0.00269369848650835,0.0519008524641778,4.76218613451683,61.95676191343,1.01801375156624,1.01213326690699,1.01801375156624,1.02429231622931,312.102087,26,3.29128165701494,5.65295168141513,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.01839878766621,-1.043,-0.367,0.309,-0.289,0.195,1.309,-0.508776666666666,-0.0540666666666667,0.827409999999998,0.0502920803901897,0.00770327313266449,0.0361171992307694,0.224258958327621,0.0877682922966175,0.190045255743913,-0.469392147038778,-0.380896354413497,-0.843474895628501,-1.37514467091142,2.58579125245641,-0.112680406013657,-0.381,-0.047,0.953,-0.719,-0.086,0.702,-0.381,-0.047,0.953,-0.301,-0.023,0.97775,0.156700191055722,0.213478490957505,0.901069995539732,3,27,9,92.6934410000001,3.18024,216.181235,1,2,1,1716.09237436291,92.0385974114932,966.266362343374,4.06697633520732,3.59766618109799,3.58692984294206,0.728827826033008,1.5905929711903,1.01839878766621,0.00305715312374648,0.0552915284989164,4.0233681995304,45.4704391536489,1.02203717071151,1.01050296843314,1.02203717071151,1.02528532614097,312.054916000001,47,5.45476035344818,5.23797835630808,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.02222047902215,-0.301,-0.059,0.965,-0.277,-0.035,0.984,-0.28976,-0.05044,0.978966666666666,4.13201337792639e-05,1.30632775919732e-05,4.42028985507251e-06,0.00642807387786294,0.00361431564642232,0.00210244853803191,-0.237547399122153,1.03439013041887,-1.83820069362645,-0.919931501555154,2.48917509691564,7.40413940697742,-0.289,-0.051,0.98,-0.294,-0.051,0.977,-0.289,-0.051,0.98,-0.285,-0.051,0.98,-0.244191002008413,-0.110207635342655,0.357445684115407,25,37,12,25.200612,0.767164,287.514042,1,80,1,0.746016429400333,0.0437357756933249,0.0108655350933173,1.80453676892765,1.21944633882114,0.843358771095036,1.01095746695892,1.02682909970452,1.02222047902215,4.70127195452978e-06,0.00216824167346027,-0.51222591438589,2.24622658553915,1.02208121008069,1.02097306526666,1.02208121008069,1.02339581785348,313.481818,1,0.0188659778261212,3.5225418612768,9,1.34,30.6,17,1.072,1,"Lying"
"Aus_1","Left",1.02293050547968,-0.398,-0.07,0.883,-0.168,0.027,1.047,-0.218083333333334,-0.00728,0.99868,0.000970986343366781,0.000322810969899667,0.000170840401337792,0.0311606537698871,0.0179669410278897,0.0130705929987048,-1.88342165488954,-1.8888812726889,-2.7676269779997,4.37991625874725,2.58943205486444,21.9300021558451,-0.207,0,1,-0.219,-0.004,0.996,-0.207,0,1,-0.203,0,1.004,0.781840343413849,0.615980234892547,0.855096915017465,29,70,59,14.558427,0.11242,299.259604,3,1,3,11.4673769301642,3.66669551092159,0.953143446864149,2.80569881594909,2.14595679476347,2.23759928463712,0.971078266670612,1.06039285172996,1.02293050547968,4.81782198250792e-05,0.00694105322159968,-0.837116484565464,14.5306994589705,1.02292790326772,1.01963964222661,1.02292790326772,1.02668836557156,313.930451,14,0.0820971928108718,4.93522192078096,9,1.34,30.6,17,1.072,1,"Lying"
